mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
1.4817812588849293,0.9328531010373055,0.49702956604855253,nan,0.6778046033413113,0.4207606217636059,0.7016489682279431,0.8582497395670977,0.6052047475724773,0.14085567908225652
0.34109406776950085,0.575812902217527,0.3008182440704542,nan,0.42570317658743634,0.45285146965489365,0.7670511228332192,0.928234570988258,0.6185101832443041,0.12910864302017147
0.29605232047420715,0.5381480644677888,0.28353589340852564,nan,0.39567714973069057,0.4910124285794123,0.8011041054909833,0.9423273540361756,0.6255456185647859,0.12919385791336518
0.25081320491983145,0.494635114477665,0.2642136965186811,nan,0.362506538706276,0.5356186622969582,0.8384503457679258,0.9544240833352052,0.6431913523203313,0.11972076084480777
0.2126999484111311,0.4543804078859989,0.2395234625738578,nan,0.32881998018133796,0.5858900166888094,0.8757267261267732,0.9639769870324196,0.6088174224411469,0.13546818909215314
0.17372961384544044,0.41259047842127833,0.21703623934876765,nan,0.2940331786487235,0.6413176641955396,0.9023740926525623,0.9731448071709007,0.6017123764676597,0.1327950268855934
0.1603067497966627,0.3965058720930323,0.2085898389760005,nan,0.2830116035088961,0.6587018529744619,0.9134879756383119,0.9770710995268924,0.6090576051130827,0.14341232950595315
0.15531267320393494,0.3900769696941065,0.20247225728157764,nan,0.27510665422345437,0.6745308417107414,0.9198852091388129,0.9769458136845044,0.6190928584004677,0.1330249440516525
0.1550345931314092,0.3886870909216382,0.20148013445184978,nan,0.27500243936485486,0.673504242057964,0.9184940256785937,0.9784413080870338,0.6349398351022614,0.12073853394504269
0.14830210829241594,0.3803533171795498,0.19787972501674947,nan,0.2682379068479006,0.6872402358464417,0.9230877226002738,0.9786426208561582,0.6538340855054078,0.11711265457546251
