mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
0.586570379931016,0.6484566354192284,0.3357497986549983,nan,0.46169793933246267,0.5264350901345838,0.8071166882187512,0.9169982427179557,0.043391562736085555,0.05824211022372921
0.15416449617930236,0.38173872137145703,0.19274879668403594,nan,0.27242109421240923,0.672155476588548,0.9253060289718562,0.9862309353546012,0.0476359109510168,0.05100717585485892
0.12208323620035924,0.340223052854081,0.1711516268519373,nan,0.241813052544778,0.7250154951611302,0.956256851720196,0.9925317492607837,0.0512307484262491,0.048653516237316216
0.10411076744610659,0.3127491565943594,0.15905677155619527,nan,0.22476756139118784,0.7578543263955178,0.96683058380569,0.9948560797093764,0.046070398895525624,0.05285560276375308
0.09601974067769849,0.3011884208533731,0.1493513196323051,nan,0.2137260965779104,0.7766377468477503,0.9713097496605738,0.9955590640526473,0.04754372973298822,0.04903038868065044
0.06585570392178876,0.25083221181925397,0.1200077474117279,0.05106954646532628,0.17240134352266534,0.8742211896462502,0.9855699780161289,0.9974168047372876,0.04669697949814694,0.05041447402070009
0.06393513029737022,0.24783658378515136,0.11838067483492676,0.050518080604946156,0.1697815304917839,0.8756222964868013,0.98588233111754,0.997684613266728,0.05133916932625832,0.04826345546051156
0.06328629233550616,0.24642753456885724,0.11605141474965304,0.049353152417573806,0.1664354395201278,0.8804501230624612,0.9857316133290401,0.9972036274205973,0.047002805046769174,0.050706897580060833
0.0630939421863515,0.24551096279547446,0.11397189701319764,0.048497537309263906,0.16516194266822717,0.8846406702319951,0.9869748385167428,0.9976317560212294,0.043876682739912694,0.051891098922925954
0.06220381302127511,0.24458067654482174,0.11718990616660262,0.04991343155695133,0.1675474735032847,0.8816871346322253,0.9868275637790369,0.99763709455089,0.043118604774638816,0.05323524475097656
0.057988978983122906,0.23614853530289912,0.11053753958239576,0.04663203797690858,0.15701787035608497,0.8968564809136125,0.9867982536938057,0.9975156631592518,0.04930700293937978,0.05055050849914551
0.057123738936600256,0.23534085902231197,0.10925267384159719,0.046341048139487216,0.15584464763878753,0.8968543077743104,0.9872287894011567,0.9976279114448973,0.044683667211573526,0.05175944070447668
0.060421027984997745,0.24093253214412386,0.11352037351274695,0.048367234108401984,0.16354225170458847,0.8906629302470981,0.9876136498389838,0.997803647426065,0.046748570004246266,0.051153725104270575
0.062030659358580736,0.2439242348691751,0.11462327160676661,0.048712754684456426,0.164286512846343,0.8831800273048008,0.9874137491115684,0.9976420058712939,0.04726852940899108,0.051110984532106586
0.060134452555824246,0.2406092019750717,0.11260847542674757,0.04776356874489477,0.16205595365921316,0.8903268289156738,0.9875588733750863,0.9977637657280132,0.04160212733714877,0.05344013574297336
0.05703672351627391,0.23493705719362723,0.10896021363689153,0.04649105365248197,0.15676298650549206,0.9003412238518056,0.9877581339025702,0.9976255085335269,0.046144183613200045,0.05073640336294542
0.057231074050388624,0.2357599143115712,0.10846230530943482,0.0462315972238907,0.15625497955876871,0.8988640803635888,0.9874354342534307,0.9976473079218885,0.0414437901820236,0.05384706632262136
0.0560294382625895,0.23306609128122827,0.10670537119771278,0.04547088485482936,0.15367826742675683,0.9025531318566318,0.9878876057817189,0.997696905790992,0.045568698260917175,0.05073903722312829
0.05825875454898044,0.23721710421325912,0.11014451249602526,0.046760906458156816,0.15876584590248796,0.8975989154991674,0.987645856454137,0.9975881319700904,0.0435499979191072,0.05237633516860111
0.058388174411564936,0.23649426390097064,0.11124286013355583,0.04733953463800987,0.15945769169811527,0.8946698328967769,0.9877736876450894,0.9975328808178717,0.046405495082871596,0.05192858528169951
