mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
1.6177203555219675,0.8565204883189114,0.3873669064351929,nan,0.5391120851295701,0.5851880612291491,0.844311225925904,0.930729306255799,0.013039101653856269,0.19365708428902687
0.17167975552092293,0.40086035637879075,0.1620886099952485,nan,0.23413002966811217,0.7633244274000242,0.9665416943668808,0.9908224033183806,0.012868023941956876,0.14570791301809155
0.15983723251732634,0.3770466452973308,0.13457896526535182,nan,0.19677620152802938,0.847905363136095,0.9808246617665106,0.9946050224897688,0.01224007197204066,0.14591695679103867
0.21715628703008905,0.4260582876950805,0.1430071065098431,nan,0.21171472886089604,0.8225112610108862,0.9815005326475709,0.9947599088685195,0.012049606020358499,0.14670466783220676
0.158524525076023,0.36994222906178953,0.13939247732510382,nan,0.20344705490851095,0.8236615377434333,0.9831235249666697,0.9957623556448155,0.01152704406705537,0.14632900549106845
0.053383368033068375,0.22456883296472194,0.09905890422701324,nan,0.14462937662785658,0.9277261453125099,0.9908350089077275,0.9979976971262002,0.01187636535055136,0.14662883578451918
0.045023870464941974,0.20703119815141552,0.08959418016569809,nan,0.13068579982790313,0.9406337487339462,0.9916830239889448,0.9982341077194705,0.01120702616646566,0.14649437855241637
0.04810242370218678,0.21397042298703756,0.0906131282896443,nan,0.13344646757508552,0.9373562580014503,0.991814403267889,0.9980872534375334,0.013121766593834874,0.14668486517386375
0.04926284945893697,0.2164524159066488,0.09428863063006954,nan,0.13631850399172868,0.9349469638689393,0.991511358263155,0.9980007795816839,0.012209279956735767,0.1461908653570347
0.04867006647740311,0.2137868454766543,0.0946512647964412,nan,0.13670000776712474,0.9347189516212807,0.9916470902160514,0.9980585252266585,0.013644228677381262,0.14584301183152096
0.04131607604512841,0.19721739445548128,0.08619633149435592,nan,0.12640426143556194,0.9435419977990342,0.9929941548298357,0.9986405963549798,0.012981659966988624,0.1468807062877606
0.040477014828649203,0.19688568591632888,0.08664338084761165,nan,0.12523010659627137,0.9472719988086193,0.9929332608828729,0.9985291266645996,0.01292356605693506,0.14661584985102707
0.03778985878172862,0.1907713445479806,0.08206963983600232,nan,0.11901482412743467,0.9520647247461802,0.9933704758406708,0.9985586745032937,0.01363081461370247,0.14621526570790827
0.040648468455915285,0.1967247477189588,0.08468189960897225,nan,0.12344013229971791,0.9474442374041152,0.9930864051687871,0.9984308063216475,0.013668347428285,0.14657855647827933
0.04056098645976684,0.19656965025696319,0.08566640947381826,nan,0.12514100162384337,0.9458349666370343,0.9933551598516145,0.9986939150376382,0.012032704087286036,0.14612093749476093
0.03882182029439656,0.1913831953787877,0.08372364207270831,nan,0.12094896697946884,0.947119731145867,0.9930813071042172,0.9985838101657163,0.012359408554601055,0.14606149698020052
0.03965352871195441,0.19445361217476564,0.08385525368186025,nan,0.12218832893560884,0.9483925318513305,0.9928894614968689,0.9984817366231664,0.013315391949829626,0.1456256340501646
0.03774711800811117,0.19010419783010948,0.08204831815456627,nan,0.1195077719862369,0.9524163331085008,0.9934840041680397,0.9986695638542011,0.011763954162597656,0.14608671163796355
0.04058022107689166,0.19653236135828395,0.08526731899623707,nan,0.12401827493194859,0.946136018441982,0.9930527670700663,0.9986981885115988,0.012147588074974748,0.1461944569845568
0.03998506884910007,0.1948728793388421,0.08324634276746169,nan,0.1220700266407283,0.9505896224996051,0.9926036485274974,0.9985934890902605,0.01172098294859792,0.14652160370298722
