mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
0.6099643710920514,0.7362817044594553,0.22316713261254578,nan,0.5063772198105908,0.6393763132790441,0.8968458600547703,0.9687594344392269,0.31561932362560946,0.08368847882418963
0.31404533637430776,0.5432568391078177,0.1592972672844422,nan,0.36295647840513506,0.7814073657025736,0.9533520425295942,0.9869848640777156,0.3151256605612005,0.08128599083976772
0.22561468001362375,0.4627236324177898,0.13161515664602377,nan,0.298516418965234,0.8488228902741816,0.9681482587633473,0.9910163547600687,0.34357532460014534,0.0808645870433851
0.194378377309178,0.42974128696661246,0.12054119057196776,nan,0.27328939334800684,0.8720662354992073,0.9733653621498819,0.9924594691598183,0.34383961848949696,0.08001474325658495
0.1720459958433193,0.4041727229797566,0.11242713795996145,nan,0.25476313583808374,0.8887972830022511,0.977117259348489,0.9935005675668114,0.3381602830668785,0.07919678991884695
0.12562348170327456,0.34493873995012847,0.08974828550225047,nan,0.20397201827436023,0.9230586981805443,0.9833635547133845,0.9952055608356408,0.315221254907363,0.08043788769298059
0.1167061874575953,0.33259340218088657,0.08509624444659757,nan,0.19364315462026246,0.9294357213023211,0.9847205784910865,0.9955547010449651,0.3160554138140624,0.08009983952925681
0.1123844645748312,0.3262472613462842,0.08299245490431385,nan,0.18884236527520415,0.9321943006422508,0.9853321674712648,0.9957497963467619,0.3162773946987837,0.07963777726820515
0.10868327369382348,0.3205083484291203,0.0812065858981386,nan,0.1849151115536329,0.9348744299781346,0.9859502848936714,0.9958930216083289,0.3164927873261919,0.08003556744396566
0.10565486309577654,0.31606462156446824,0.07971059530221863,nan,0.18144702194628093,0.9370584832635916,0.9863924194019595,0.9959853111735589,0.3160016870610892,0.08016720905188514
