mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
0.7363372061705384,0.6899686330742084,0.32802555509263354,nan,0.4694348720393979,0.5642267895358827,0.8275659839482779,0.923456468960758,0.0411004461443987,0.057726601571995814
0.1157128871126748,0.3330844796434353,0.16570030599832536,nan,0.23330923416072208,0.7458288793911749,0.9558675173526158,0.9898567165939594,0.044374560081907606,0.051576567514771555
0.08888764639141222,0.29007514554315994,0.1408579837866607,nan,0.20208292357911367,0.8067446663144321,0.9738160973966378,0.9946500289082015,0.04166292141435484,0.05225128615874589
0.08256508175907216,0.2778962820816889,0.1320038817727003,nan,0.19101739896725176,0.8319484717344522,0.9789211800170047,0.995914303847137,0.0460578566457069,0.050278167970190746
0.0971845389595615,0.2973710117429157,0.1423716243948036,nan,0.20791562217499565,0.7999827879181236,0.9768852612491329,0.9951801442792999,0.04367403677093113,0.05120113151779502
0.06082280633147694,0.23954904916006878,0.11163599847979812,nan,0.16116556571276913,0.891963685121659,0.9868855990565386,0.9975033427001069,0.04186764909474123,0.05421793655264531
0.05326033228840439,0.22565078418686726,0.10137695966872023,nan,0.14731631285387048,0.9142280608799325,0.9883663511583222,0.9978792926272609,0.04633484173230347,0.05028246339298625
0.052595098067250885,0.22543874927449054,0.10337603897367936,nan,0.149382251769688,0.9124198926364915,0.9886014413424316,0.9980001616887269,0.04746101751859608,0.051224879850133805
0.049777015033198015,0.2187144546307419,0.09850932179986152,nan,0.1427500709571552,0.9210174511430601,0.9892693992336421,0.998123359629013,0.04562283790162704,0.050465360322223714
0.05200689576022615,0.22260009338066877,0.10131284160931223,nan,0.1466910526220379,0.9125647656395711,0.9889783851066885,0.9979977391820097,0.04395728888941425,0.051263591250636543
0.048253425514493374,0.2160398976578208,0.09783129586554393,nan,0.14109359258234244,0.9236238146032898,0.9899636524941277,0.9981393258970694,0.047340182889684584,0.05045530724423126
0.052076899903015006,0.22334832202189497,0.10319756004687543,nan,0.14807242873912205,0.911263649453421,0.9893935303319678,0.9980394542984696,0.04396434546540223,0.05199052827041037
0.050187234206388945,0.21872210281264595,0.09880806803063773,nan,0.14315884039765264,0.9205894694819471,0.9896091889925781,0.998127446512296,0.04457572253476908,0.050356444575755895
0.051842613479865976,0.2223844339766113,0.1015122104995752,nan,0.1460983257053236,0.9137554978096434,0.9894269706353609,0.9980680176116878,0.041848698808399906,0.053754234723267125
0.04807470453975027,0.21487449672541778,0.09852329744545688,nan,0.14168634096184513,0.920768251337207,0.9894162415946502,0.9980448820560275,0.04707768874107,0.049894870708940366
0.05008449141623636,0.21947303726608766,0.10084411196186818,nan,0.14339857608591539,0.915913212503998,0.9891422228751776,0.9979242602131397,0.046932222914798066,0.05001337517996203
0.05080693475422429,0.21996596438926413,0.09953742178852466,nan,0.14421539820826618,0.9180254313055538,0.9897563356698327,0.9981465034730445,0.04185541116116896,0.05359081935473266
0.050133401174657845,0.21845777909003827,0.09982841091606239,nan,0.143244098580958,0.9186637313069193,0.9891770386388885,0.9979557706562746,0.04099721703918195,0.052999952627353915
0.04799024769037066,0.2140480024240972,0.09622878212273889,nan,0.13928964045937992,0.923356268436612,0.9898143062264111,0.9979389710999353,0.047144102947906365,0.05069084863294348
0.0474212056385601,0.21398867075959677,0.09388725390505893,nan,0.13763962151410752,0.9294660530376844,0.9903216880790153,0.9982959319081941,0.04597323217105456,0.051108246299841883
