mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
1.6122929116942852,0.9671272570011572,0.5032449793150496,nan,0.6821744361916325,0.4377524542706207,0.7141322819460103,0.8664683967189216,0.04817615046521625,0.05780249317316538
0.3246611486944518,0.5628632181070491,0.29558282030242705,nan,0.4133540091852262,0.4748380876406068,0.7807613124151598,0.9253265848487232,0.046717314044805044,0.05392218372852506
0.2789450629586314,0.5191431393478223,0.267955983196717,nan,0.3766327264227069,0.5267839149344121,0.8258833019006917,0.9429949349088219,0.04768676860138071,0.05242450022390472
0.22979221367017394,0.4733120024722079,0.25086170221347154,nan,0.3447296887764092,0.5641993390644057,0.859988904613282,0.9591476884522663,0.05181522696826591,0.05039239298120589
0.2022082791307965,0.44226276846728424,0.23360852271702157,nan,0.3206465385246686,0.5986099693396573,0.8809714452903158,0.965862609541979,0.046673172430930734,0.05418590967235647
0.15622710583036037,0.3888887783005584,0.19853016902960421,nan,0.27370614414562994,0.6800304724934787,0.9183195129484578,0.9774493362258944,0.0508508884855606,0.050501745862510584
0.14411541994804988,0.3738584917894142,0.1899491842212595,nan,0.2633523085726177,0.694947841443729,0.9282108585721945,0.9817869192029274,0.04698648350433219,0.05341455496431932
0.13748704765487638,0.36657001697345604,0.18697556105038637,nan,0.2563681545687336,0.7084366720121817,0.9300307180236849,0.9813216359830209,0.050430440493407676,0.05146998990758806
0.13418318446357874,0.361545308918879,0.1814118605187011,nan,0.2514583346413952,0.720346656633549,0.9342808078798613,0.9828705202868057,0.04878606673473964,0.05259637689385803
0.13638640621701023,0.3639577455973556,0.18374669824291195,nan,0.2552247020435947,0.71044755631762,0.9331576581165003,0.9833581089461821,0.047594901522853346,0.053125138958124644
0.13358010395146236,0.35952013639269903,0.18079794872983843,nan,0.25049298640996087,0.7192510744021174,0.934924607727149,0.9832203811841973,0.049820845730826575,0.050756397370105136
0.12809072599902174,0.35328925332925243,0.17456243676433236,nan,0.24258640848515883,0.7357484320714238,0.9403157148750043,0.9847590630658195,0.04941637669510084,0.051920309394214284
0.12447297394019852,0.34733577472547006,0.17472908404763676,nan,0.2408664719741232,0.7362182303559627,0.9390957234243467,0.9850741091715931,0.04954586254168989,0.05357691330971125
0.1273204453001718,0.35218072081066537,0.17560728274189863,nan,0.24356014347383392,0.7327943291275286,0.94046367882659,0.9851419781410643,0.05259058362936257,0.050949893591230005
0.1248417548163766,0.3481011803369398,0.17608894250423612,nan,0.2419522235705617,0.7346859701201639,0.9411071524599591,0.9847173828423791,0.04889909760634786,0.05185254080612772
0.12527903823637657,0.34911295547712073,0.17725931174509515,nan,0.2408682793123016,0.7386411655614304,0.9385786965681248,0.9836896986920435,0.04958972030443183,0.052312923603303446
0.12437186872370765,0.3476880919909714,0.1735485775404222,nan,0.23918932343757204,0.740779735295046,0.9404627556452936,0.9850036965419294,0.05423296817894146,0.050441789013121775
0.12842887948894705,0.3533882185671649,0.17705167520455536,nan,0.24417266696051979,0.7332894297116815,0.9394704956865106,0.9846754754050095,0.05017582254860022,0.051724298829172816
0.12671502434644577,0.3511545364838787,0.17674162589940903,nan,0.24344510323499918,0.7323091496725451,0.9388329213269279,0.9847591784379002,0.04985101356015185,0.05071855021137025
0.12498052821138898,0.34975803326177424,0.17527435025432078,nan,0.24103820492781283,0.7385778337077521,0.9388709672019205,0.9839969556219076,0.04988529303554813,0.05215108016018192
