mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
0.9851959733236502,0.8420829186675773,0.44870724905713943,nan,0.6073865001037909,0.4216822613718172,0.7039369353408977,0.8635295662245526,1.4975957268809044,0.22742637319114586
0.2979361368223321,0.5395173887076259,0.2852271368958919,nan,0.3981939196330795,0.49066373867026725,0.7970634430774803,0.9364414878669215,1.4251353155389876,0.2662838461061404
0.2229967931053669,0.46667751536126734,0.25422363441133705,nan,0.3426308941687637,0.5635394012467544,0.8571851329742072,0.9571940117639534,1.446938127304863,0.2618313734111868
0.19072046460895578,0.4308845438849234,0.23205406069755555,nan,0.3113238810981292,0.6152765693071063,0.8859746530843907,0.9655371208047662,1.4342933785761887,0.24894340089462347
0.16139471341612002,0.39661098611670087,0.2101855674782536,nan,0.2868663438399974,0.6488795079642611,0.9099756735077231,0.9757617180439536,1.4480018846978446,0.2586812395906244
0.13207178445844692,0.35864032051229244,0.18479318521565122,nan,0.2534077958231832,0.7094116578797925,0.9316738953917835,0.9822715585835502,1.5161836597540859,0.2718043624075697
0.12630776225753096,0.3509736871240913,0.1771221548190956,nan,0.24390009030252055,0.7314776070639811,0.9355609074171009,0.983290392185997,1.5317057263697678,0.27641137434177643
0.12186167461421868,0.3446776869352456,0.17317369178640996,nan,0.23973614164176418,0.7386137686062269,0.9410453462805359,0.9855435972561652,1.5227364595355906,0.25960180401290434
0.12035194978181896,0.342082694900909,0.1729373917175465,nan,0.23706380860488302,0.7436075594292179,0.9406397415844667,0.9837124484803031,1.4927318313091098,0.25622654595600175
0.11958401004899726,0.3415827982224378,0.1694549172605056,nan,0.23511964741438754,0.7513577242777583,0.9431151539471017,0.986005967369407,1.409250780850521,0.2769577263762511
