mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
1.5505266783575131,0.9361105905306881,0.4975933348927887,nan,0.6802570224319916,0.43090235317213854,0.705278688490135,0.8607326728591591,0.7938764412515665,0.1593294765816226
0.3064283587901889,0.5428352727671358,0.27925523169050914,nan,0.39588725275236136,0.5026315415621827,0.8014568867089923,0.9364947467914466,0.8402562026813818,0.13463612626038907
0.27209066633502815,0.5125887995404272,0.26520554387518264,nan,0.3720518044647741,0.5328079406795584,0.8310467308682945,0.9466025392385,0.79947223110772,0.142136650944984
0.23524496371142342,0.47864326254447065,0.24948631278179234,nan,0.3466326306817869,0.5658428104650309,0.8601819561786406,0.9583245665730324,0.8558027103735142,0.12034983307506905
0.20823739087888612,0.44859678948135223,0.23567834680684135,nan,0.3232541640173212,0.6002212027623418,0.8790552636584499,0.9659396440174447,0.8451463942875678,0.12935821365389188
0.1695382169259976,0.4065148738166686,0.20827322085527902,nan,0.2869369407580134,0.6580865715706298,0.9128157813149972,0.9755655879626458,0.80000424241815,0.15103024904308401
0.16302666761332826,0.3973364545528477,0.20290901185105287,nan,0.27997754556426674,0.6695279101957068,0.9155798465908853,0.9770172099698766,0.8666938507505753,0.12217205256351586
0.15909059726884947,0.39256641528811725,0.2005125572880962,nan,0.2758595284730068,0.6771090562251504,0.9197110809481707,0.9783297454338729,0.8548074484894715,0.11416647771909001
0.14552934997327338,0.37738138149443845,0.19185291508236668,nan,0.2630578163867345,0.6988921133745382,0.9280778460236578,0.9796079215062022,0.8830175798849998,0.11001068102955307
0.1477469372902817,0.37880352187991906,0.19339401169396264,nan,0.265677663402496,0.692815797165228,0.9273898735066852,0.980541585085218,0.8776466234559154,0.10944655156442536
