mse,rmse,absrel,lg10,mae,delta1,delta2,delta3,data_time,gpu_time
0.3390786679268695,0.514434974203621,0.1461399578293328,nan,0.3463260176107438,0.806164145558171,0.9733099228769501,0.9936598641215432,0.010443547025332935,0.17817583626039732
0.1371797871288656,0.3447951403517205,0.09855819048163329,nan,0.2325381655283598,0.9312138065696389,0.9939789834464245,0.9981773979385667,0.012789162077515737,0.17639708939862075
0.09968219598158368,0.29477864465453923,0.08486910820290416,nan,0.1976204742592958,0.9570826133017922,0.9956478651089402,0.9986257209281594,0.009177113108452166,0.17303473771460198
0.08023944019750838,0.2644302461982353,0.07577867456884065,nan,0.17688736011021755,0.972041297668908,0.9970233948662045,0.9990580947048807,0.006371023796032801,0.18361202505665813
0.07059195479058686,0.24818459409442548,0.07024302355357631,nan,0.16376664042259895,0.9785083528537937,0.9974001730017479,0.9991380450263789,0.00640589002802938,0.18802582271642626
0.033455665703680026,0.17557862113863712,0.046017475840814094,nan,0.10770180390079248,0.9879774720168146,0.9981127469809807,0.9994097770803634,0.006845067592779902,0.17543802765607033
0.029532034182529608,0.16540077780270304,0.04263582238338753,nan,0.10035199279851194,0.9889337082156096,0.9982742192605717,0.9994844230193778,0.007074914967845411,0.17529388145864933
